2019_05_27_22_05_40 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7385165055642087, Est. CMI = 0.3323555588722229 +- 0.05889485031366348, 
2019_05_27_22_13_56 : Category Non-lin-NI_14, N = 10k, d_z = 100, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2815017088994657, Est. CMI = 0.06578686088323593 +- 0.05532734468579292, 
2019_05_27_22_30_09 : Category Non-lin-NI_15, N = 20k, d_z = 100, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.34478443346032417, Est. CMI = 0.11699540913105011 +- 0.04041216894984245, 
2019_05_27_23_07_39 : Category Non-lin-NI_16, N = 50k, d_z = 100, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.336858758491405, Est. CMI = 0.12734413146972656 +- 0.02097991667687893, 
2019_05_27_23_12_28 : Category Non-lin-NI_17, N = 5k, d_z = 200, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.270104166322512, Est. CMI = -0.08193293958902359 +- 0.09035184234380722, 
2019_05_27_23_21_19 : Category Non-lin-NI_18, N = 10k, d_z = 200, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2897375041601914, Est. CMI = -0.2841786742210388 +- 0.1454341560602188, 
2019_05_27_23_37_40 : Category Non-lin-NI_19, N = 20k, d_z = 200, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7397957405722647, Est. CMI = 0.23827700316905975 +- 0.05243784934282303, 
2019_05_28_00_20_16 : Category Non-lin-NI_20, N = 50k, d_z = 200, Mimic = mi_diff, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3299024069277613, Est. CMI = 0.08218202739953995 +- 0.03275684267282486, 

*******************************************************************************************************************************************************
