2019_05_26_23_18_55 : Category Non-lin-NI_14, N = 10k, d_z = 100, k = 5  True CMI = 0.2815017088994657, Est. CMI = 0.015633219814741972 ,
2019_05_26_23_20_30 : Category Non-lin-NI_14, N = 10k, d_z = 100, k = 10  True CMI = 0.2815017088994657, Est. CMI = 0.013526046315786466 ,
2019_05_26_23_26_03 : Category Non-lin-NI_15, N = 20k, d_z = 100, k = 3  True CMI = 0.34478443346032417, Est. CMI = -0.0010663817329060743 ,
2019_05_26_23_31_47 : Category Non-lin-NI_15, N = 20k, d_z = 100, k = 5  True CMI = 0.34478443346032417, Est. CMI = -0.0014555678463736843 ,
2019_05_26_23_37_45 : Category Non-lin-NI_15, N = 20k, d_z = 100, k = 10  True CMI = 0.34478443346032417, Est. CMI = -0.0017457252288841654 ,
2019_05_27_00_14_43 : Category Non-lin-NI_16, N = 50k, d_z = 100, k = 3  True CMI = 0.336858758491405, Est. CMI = -0.0028585324627389275 ,
2019_05_27_00_50_00 : Category Non-lin-NI_16, N = 50k, d_z = 100, k = 5  True CMI = 0.336858758491405, Est. CMI = -0.0033886892444165984 ,
2019_05_27_01_25_38 : Category Non-lin-NI_16, N = 50k, d_z = 100, k = 10  True CMI = 0.336858758491405, Est. CMI = -0.004058511708162182 ,
2019_05_27_01_26_24 : Category Non-lin-NI_17, N = 5k, d_z = 200, k = 3  True CMI = 0.270104166322512, Est. CMI = 0.005674357309411682 ,
2019_05_27_01_27_12 : Category Non-lin-NI_17, N = 5k, d_z = 200, k = 5  True CMI = 0.270104166322512, Est. CMI = 0.004982165930150773 ,
2019_05_27_01_28_02 : Category Non-lin-NI_17, N = 5k, d_z = 200, k = 10  True CMI = 0.270104166322512, Est. CMI = 0.004553132135242333 ,
2019_05_27_01_30_55 : Category Non-lin-NI_18, N = 10k, d_z = 200, k = 3  True CMI = 0.2897375041601914, Est. CMI = 0.008233084105846777 ,
2019_05_27_01_33_54 : Category Non-lin-NI_18, N = 10k, d_z = 200, k = 5  True CMI = 0.2897375041601914, Est. CMI = 0.007216399389356144 ,
2019_05_27_01_36_59 : Category Non-lin-NI_18, N = 10k, d_z = 200, k = 10  True CMI = 0.2897375041601914, Est. CMI = 0.006597140454340345 ,
2019_05_27_01_48_31 : Category Non-lin-NI_19, N = 20k, d_z = 200, k = 3  True CMI = 0.7397957405722647, Est. CMI = 0.015321924603343584 ,
2019_05_27_02_00_24 : Category Non-lin-NI_19, N = 20k, d_z = 200, k = 5  True CMI = 0.7397957405722647, Est. CMI = 0.013396621573004362 ,
2019_05_27_02_12_32 : Category Non-lin-NI_19, N = 20k, d_z = 200, k = 10  True CMI = 0.7397957405722647, Est. CMI = 0.0110346705287494 ,
2019_05_27_03_37_57 : Category Non-lin-NI_20, N = 50k, d_z = 200, k = 3  True CMI = 0.3299024069277613, Est. CMI = -0.004375346575356764 ,
2019_05_27_05_04_08 : Category Non-lin-NI_20, N = 50k, d_z = 200, k = 5  True CMI = 0.3299024069277613, Est. CMI = -0.004603308436397002 ,
2019_05_27_06_32_05 : Category Non-lin-NI_20, N = 50k, d_z = 200, k = 10  True CMI = 0.3299024069277613, Est. CMI = -0.004407564807074049 ,

*******************************************************************************************************************************************************
