2019_05_28_13_38_20 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7385165055642087, Est. CMI = -0.18105650637298823 +- 0.12560100652390144, 
2019_05_28_13_49_07 : Category Non-lin-NI_14, N = 10k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2815017088994657, Est. CMI = -0.5604053407907486 +- 0.04780619793244582, 
2019_05_28_14_11_31 : Category Non-lin-NI_15, N = 20k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.34478443346032417, Est. CMI = -0.43633217811584474 +- 0.03660290062895875, 
2019_05_28_15_15_26 : Category Non-lin-NI_16, N = 50k, d_z = 100, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.336858758491405, Est. CMI = 0.07466529347002507 +- 0.02044965651089997, 
2019_05_28_15_20_41 : Category Non-lin-NI_17, N = 5k, d_z = 200, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.270104166322512, Est. CMI = -1.6953309535980225 +- 0.6980617439635612, 
2019_05_28_15_31_17 : Category Non-lin-NI_18, N = 10k, d_z = 200, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2897375041601914, Est. CMI = -2.6854283928871157 +- 0.7876033356756238, 
2019_05_28_15_55_29 : Category Non-lin-NI_19, N = 20k, d_z = 200, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7397957405722647, Est. CMI = -1.1271492779254912 +- 0.14166132781454435, 
2019_05_28_17_27_34 : Category Non-lin-NI_20, N = 50k, d_z = 200, Mimic = knn, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3299024069277613, Est. CMI = -0.9343838810920715 +- 0.12301953497241158, 

*******************************************************************************************************************************************************
