2019_05_28_15_47_16 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7385165055642087, Est. CMI = -5.787045681476593 +- 1.5361384416272341, 
2019_05_28_15_53_06 : Category Non-lin-NI_14, N = 10k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2815017088994657, Est. CMI = -0.6094233304262161 +- 0.1564100933005748, 
2019_05_28_16_04_19 : Category Non-lin-NI_15, N = 20k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.34478443346032417, Est. CMI = -0.7777457028627396 +- 0.47068812422386586, 
2019_05_28_16_31_27 : Category Non-lin-NI_16, N = 50k, d_z = 100, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.336858758491405, Est. CMI = -0.27610219130292535 +- 1.0719775088939587, 
2019_05_28_16_35_02 : Category Non-lin-NI_17, N = 5k, d_z = 200, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.270104166322512, Est. CMI = -6.542708539962769 +- 1.480214262011641, 
2019_05_28_16_41_17 : Category Non-lin-NI_18, N = 10k, d_z = 200, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2897375041601914, Est. CMI = -3.027746391296387 +- 0.9971014080696586, 
2019_05_28_16_53_11 : Category Non-lin-NI_19, N = 20k, d_z = 200, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7397957405722647, Est. CMI = -2.118409788608551 +- 0.9263179474389289, 
2019_05_28_17_24_43 : Category Non-lin-NI_20, N = 50k, d_z = 200, Mimic = cgan, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3299024069277613, Est. CMI = -1.7766360759735107 +- 0.3027825901962008, 

*******************************************************************************************************************************************************
