2019_05_28_14_08_19 : Category Non-lin-NI_13, N = 5k, d_z = 100, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7385165055642087, Est. CMI = -0.2388278253376484 +- 0.11309023124613722, 
2019_05_28_14_21_19 : Category Non-lin-NI_14, N = 10k, d_z = 100, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2815017088994657, Est. CMI = -0.5721783697605133 +- 0.07199924196039625, 
2019_05_28_14_46_34 : Category Non-lin-NI_15, N = 20k, d_z = 100, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.34478443346032417, Est. CMI = -0.5600102782249451 +- 0.09128504749448886, 
2019_05_28_15_39_27 : Category Non-lin-NI_16, N = 50k, d_z = 100, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.336858758491405, Est. CMI = 0.17830272018909454 +- 0.04767736328048517, 
2019_05_28_15_45_48 : Category Non-lin-NI_17, N = 5k, d_z = 200, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.270104166322512, Est. CMI = -1.5962539196014405 +- 0.40881019682503283, 
2019_05_28_15_57_35 : Category Non-lin-NI_18, N = 10k, d_z = 200, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.2897375041601914, Est. CMI = -2.6747143387794496 +- 0.8976936332915715, 
2019_05_28_16_20_53 : Category Non-lin-NI_19, N = 20k, d_z = 200, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.7397957405722647, Est. CMI = -1.7601068019866943 +- 0.23243024791675085, 
2019_05_28_17_16_32 : Category Non-lin-NI_20, N = 50k, d_z = 200, Mimic = cvae, Tester = Classifier, Metric = donsker_varadhan, : True CMI = 0.3299024069277613, Est. CMI = -0.8894439101219177 +- 0.1750252516138749, 

*******************************************************************************************************************************************************
